date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-08-31,67.485,68.7841,67.1086,68.4884,7019552,7019552,0.439026,0.645,68.2484,"Aug 31, 15",-0.1796067195001581
2015-09-01,66.7503,68.0405,66.7143,67.1086,9053087,9053087,-1.3798,-2.015,67.1637,"Sep 1, 15",-0.19613475415177334
2015-09-02,68.0046,68.2376,67.1534,68.1838,5325877,5325877,1.0752,1.602,67.8503,"Sep 2, 15",-0.18325539275344258
2015-09-03,68.0494,68.0987,66.1007,66.7055,11077090,11077090,-1.4784,-2.168,66.6639,"Sep 3, 15",-0.20096331681887436
2015-09-04,65.4063,65.9976,64.8239,65.4959,12007985,12007985,-1.2096,-1.813,65.5134,"Sep 4, 15",-0.21545259839199632
2015-09-08,66.8219,66.8578,65.908,66.5711,5647846,5647846,1.0752,1.642,66.3991,"Sep 8, 15",-0.2025732369936657
2015-09-09,67.1982,67.3774,65.2092,65.3704,5859208,5859208,-1.2006,-1.803,66.0904,"Sep 9, 15",-0.21695590926949868
2015-09-10,65.3077,65.684,64.5372,64.8866,6109060,6109060,-0.483826,-0.74,65.0082,"Sep 10, 15",-0.22275114275583832
2015-09-11,64.7164,65.3346,64.4019,65.0748,4413804,4413804,0.188153,0.29,64.8709,"Sep 11, 15",-0.22049677536822135
2015-09-14,64.8239,65.3077,64.5193,65.2002,4232153,4232153,0.125439,0.193,65.0907,"Sep 14, 15",-0.21899466234799195
2015-09-15,65.4242,66.9653,65.0882,66.8219,5109378,5109378,1.6217,2.487,66.3755,"Sep 15, 15",-0.1995690109532069
2015-09-16,67.0638,67.9777,66.8219,67.7717,5225786,5225786,0.949736,1.421,67.5723,"Sep 16, 15",-0.1881917625751057
2015-09-17,67.5566,67.8077,66.2216,66.356,7744980,7744980,-1.4156,-2.089,66.9298,"Sep 17, 15",-0.20514982798769565
2015-09-18,65.702,65.8543,64.1609,64.3849,9260117,9260117,-1.9712,-2.971,64.9074,"Sep 18, 15",-0.22876079269402888
2015-09-21,64.7791,65.262,64.4297,64.6537,7594884,7594884,0.268796,0.417,64.7554,"Sep 21, 15",-0.22554095234444624
2015-09-22,63.7219,64.3311,63.2918,64.2236,5717310,5717310,-0.430067,-0.665,63.8481,"Sep 22, 15",-0.23069293647523303
2015-09-23,64.2146,64.3401,62.8617,62.8976,4754274,4754274,-1.326,-2.065,63.163,"Sep 23, 15",-0.24657652391402263
2015-09-24,59.3136,59.7616,57.9249,58.9553,22589648,22589648,-3.9423,-6.268,58.8337,"Sep 24, 15",-0.2937996511839621
2015-09-25,58.2385,58.9284,58.0055,58.2206,12365079,12365079,-0.7347,-1.246,58.3389,"Sep 25, 15",-0.3026003085680335
2015-09-28,57.5575,57.6292,56.4376,57.1543,12572047,12572047,-1.0662,-1.831,56.9933,"Sep 28, 15",-0.31537306066907517
2015-09-29,57.0289,58.5834,56.9841,57.6203,8784416,8784416,0.465909,0.815,57.7346,"Sep 29, 15",-0.30979104577731353
2015-09-30,58.1937,58.8119,57.4769,58.561,7850349,7850349,0.940774,1.633,58.2568,"Sep 30, 15",-0.2985228024110471
2015-10-01,58.8029,59.224,56.9931,57.6919,7932950,7932950,-0.869099,-1.484,57.7174,"Oct 1, 15",-0.3089333799699098
2015-10-02,57.1543,58.8925,56.5361,58.8657,8782659,8782659,1.1737,2.034,58.066,"Oct 2, 15",-0.2948729313004897
2015-10-05,59.7527,62.2525,59.5959,61.9837,10661917,10661917,3.118,5.297,61.3719,"Oct 5, 15",-0.2575237415311491
2015-10-06,62.3062,63.7487,61.8941,63.4531,9664115,9664115,1.4694,2.371,63.0615,"Oct 6, 15",-0.23992242676300632
2015-10-07,63.9369,65.1465,61.9568,63.0588,8395984,8395984,-0.394232,-0.621,63.2646,"Oct 7, 15",-0.24464557799009135
2015-10-08,63.0051,64.6716,62.584,64.367,6091642,6091642,1.3081,2.074,63.8471,"Oct 8, 15",-0.2289752091458798
2015-10-09,64.8149,64.9493,63.4889,63.8831,5573530,5573530,-0.483828,-0.752,64.0126,"Oct 9, 15",-0.2347716404894924
2015-10-12,64.0713,64.0892,63.0051,63.1663,4643461,4643461,-0.716782,-1.122,63.3323,"Oct 12, 15",-0.24335788142171283
2015-10-13,62.6825,63.6412,62.0553,62.8707,4724800,4724800,-0.295671,-0.468,63.0105,"Oct 13, 15",-0.24689874752043545
2015-10-14,62.8169,63.6681,62.3331,63.3545,4042685,4042685,0.483826,0.77,63.2544,"Oct 14, 15",-0.24110351403409577
2015-10-15,63.1395,63.5382,62.5033,63.462,4547862,4547862,0.107518,0.17,63.1503,"Oct 15, 15",-0.23981581746571726
2015-10-16,63.2739,63.4665,61.9218,62.4316,8309968,8309968,-1.0304,-1.624,62.3378,"Oct 16, 15",-0.25215853880578415
2015-10-19,62.0464,62.2435,61.6432,62.0643,5711976,5711976,-0.367352,-0.588,61.9029,"Oct 19, 15",-0.2565582685691834
2015-10-20,61.6969,63.7846,61.3834,62.9603,6385839,6385839,0.895977,1.444,62.9258,"Oct 20, 15",-0.24582546740390793
2015-10-21,63.247,64.4207,62.342,62.4227,8730217,8730217,-0.537585,-0.854,63.1152,"Oct 21, 15",-0.2522651481030732
2015-10-22,61.5348,65.9832,61.4352,64.2165,13909175,13909175,1.7939,2.874,64.1302,"Oct 22, 15",-0.23077798434160976
2015-10-23,64.9685,65.6208,64.0172,65.0048,7942513,7942513,0.788213,1.227,64.8623,"Oct 23, 15",-0.22133527545925843
2015-10-26,65.041,65.503,64.7058,64.7964,6254526,6254526,-0.208378,-0.321,65.0293,"Oct 26, 15",-0.2238316100160033
2015-10-27,63.5823,64.3977,61.9153,63.7726,8280526,8280526,-1.0238,-1.58,63.7394,"Oct 27, 15",-0.2360952727760582
2015-10-28,64.0988,65.3309,63.8505,65.2041,5486887,5486887,1.4315,2.245,64.8251,"Oct 28, 15",-0.21894794591434844
2015-10-29,64.7692,65.7477,64.5789,65.2041,4321267,4321267,0,0,65.1819,"Oct 29, 15",-0.21894794591434844
2015-10-30,65.4759,66.3909,64.896,66.1282,7388715,7388715,0.924111,1.417,65.7979,"Oct 30, 15",-0.20787854685538498
2015-11-02,66.1372,67.6231,65.9832,67.3513,5876460,5876460,1.2231,1.85,66.9876,"Nov 2, 15",-0.19322755455042026
2015-11-03,67.4419,68.2391,67.2244,67.7227,5006120,5006120,0.371459,0.552,67.8181,"Nov 3, 15",-0.18877871263883161
2015-11-04,68.2572,68.7918,67.3399,67.5415,5478664,5478664,-0.181201,-0.268,67.8479,"Nov 4, 15",-0.19094923001734496
2015-11-05,67.6321,68.4566,66.3275,67.2425,6238869,6238869,-0.298977,-0.443,67.2207,"Nov 5, 15",-0.19453082326334642
2015-11-06,66.5178,66.9073,65.5302,66.8983,5538588,5538588,-0.344274,-0.512,66.3059,"Nov 6, 15",-0.1986538479967034
2015-11-09,66.5268,66.6854,64.7601,65.1316,5914778,5914778,-1.7667,-2.641,65.3432,"Nov 9, 15",-0.21981639243720824
